PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO,RegID,RegName,Household no,NearestZone0,NearestZone1,No central heating,Gas central heating,Electric (including storage heaters) central heating,Oil central heating,"Solid fuel (for example wood, coal) central heating",Other central heating,Two or more types of central heating,District or communal heat networks only,Renewable energy only,Tank or bottled gas only,Two or more types of central heating (including renewable energy),Two or more types of central heating (not including renewable energy),Wood only
crossways,17.6,5.99984,,"0.25196288616747814,51.45451440138977",Northfleet,UKPN,E12000008,South East,3284.678712880353,E02005033,E02005035,52.5300471727561,2566.9623525868674,335.36593484742633,6.84169633038755,0.0,24.148981974307482,,8.373413519576044,1.5960879098329248,20.074221021622858,11.689369694513326,248.3916061245087,0.0
ebbsfleet,28.8,11.50272,,"0.31903578444839786,51.43969797186387",Northfleet,UKPN,E12000008,South East,6297.29118180203,E02005031,E02005060,81.87900140017025,5153.2082471783315,390.01167184278756,11.33544630467912,2.041699487334481,45.42932816713663,,54.3463449013003,4.808049701491555,30.399193526213075,15.365680081996109,529.801889813396,1.0240893454386655
mereworth,17.1,13.782600000000002,,"0.35667428112782973,51.25061191101303",Northfleet,UKPN,E12000008,South East,7545.436683002341,E02005156,E02005155,59.55110934484419,6110.589688362107,260.89211285499044,334.91626095936834,8.589811367052825,26.233484805651788,,3.617804290119743,21.239781979278206,95.92131691780357,46.46451962784162,685.2999421476503,15.079873527979018
tunbridge wells town,27.3,19.07178,,"0.2987910152678586,51.13853687398209",Northfleet,UKPN,E12000008,South East,10441.056725302218,E02005166,E02005170,115.25973429767578,8389.385357404555,818.8596105903504,110.07167606931604,1.6274837540731097,66.74501486031446,,21.934517370827088,18.396492513799537,51.590429821493785,58.17953404975012,823.4040058062171,3.2652969406319845
beddington,28.8,12.582719999999998,,"-0.13746367474818516,51.374691739643936",Beddington,UKPN,E12000007,London,8011.05063512064,E02000850,E02000849,119.85054708851044,6661.565674822223,555.1541774042928,5.957503674853023,0.0,49.43741467045192,,29.430209191906606,5.559264328049771,18.141313426464684,22.20803716150392,575.1860869862586,0.0
eastbourne,28.8,19.20096,,"0.2998006591920819,50.78321442850891",Ninfield,UKPN,E12000008,South East,10511.77774388436,E02004362,E02006857,133.67176063569397,8668.048877490017,754.3769672484389,9.123444501594092,3.0126831955635995,73.60643949710065,,44.66399550382985,5.675715012508172,36.17445712199036,31.175694014021563,784.5701143911626,3.0222437541841356
tunbridge wells grid,28.5,20.4003,,"0.330431188886271,51.13603104015783",Northfleet,UKPN,E12000008,South East,11168.369680920336,E02005165,E02005166,108.47312208310099,8027.590897206085,797.7813049828613,950.0454698385906,10.252212407147537,69.77767782697046,,4.1452456389414385,54.08075455056121,165.4494856604546,82.94420076509746,995.3636996395613,22.62644373339208
chelmsford north grid,47.0,39.4236,,"0.44749103302352733,51.7702552095846",Braintree,UKPN,E12000006,East of England,24801.880505604768,E02004487,E02004486,232.88893822768918,19103.92508692012,1330.3759993534104,1665.445159165713,24.44232131003988,145.74020273993375,,43.92306180356689,72.90913057946547,293.4884442858052,218.44194471272695,1966.1535968071648,24.519887463046185
colchester grid,12.3,12.00726,,"0.9423583382124315,51.88233784186224",Rayleigh,UKPN,E12000006,East of England,7553.917646276034,E02004513,E02006922,88.3498820914583,5785.483353725131,797.6776737048383,58.33779573963397,5.618643073997253,49.72743599876463,,12.981535677686272,8.316933124875083,37.78052847624182,64.93843762683815,625.9726322615609,1.6104209944699133
huntingdon grid,35.0,34.44,,"-0.21566991973006994,52.34696142298502",Eaton Socon,UKPN,E12000006,East of England,21666.6353304373,E02003764,E02003762,231.075115142263,16761.551861647862,2053.697192043618,353.6283282752971,0.0,151.75610614761325,,65.29649245356033,72.55087160684442,119.33074969731783,88.8172653316644,1768.616461529269,2.4924120612137193
