PS Name,Firm Capacity (MVA),Demand (MVA),PF,"Geo(Long,Lat)",GSP,DNO
glaxo,12.05,2.414481247307949,0.9940594313694543,"-3.0672894039569893,54.19145368802834",HARKER,ENW
glossop,22.863,13.728517596784636,0.9962676825143063,"-1.9668399195648505,53.44343165305939",STALYBRIDGE,ENW
golborne,43.0,28.453415180909875,0.9942251353970625,"-2.594767070254321,53.475140293012274",BOLD,ENW
gowhole,22.863,15.1755,0.9950919435299197,"-1.9848778594749361,53.351500258455616",STALYBRIDGE,ENW
grane rd & prinny hill,17.5,10.335051263215844,0.9924,"-2.3299787973886406,53.70051368831316",PADIHAM,ENW
grange,13.0,7.356055881756178,0.9947057352416965,"-2.9174920874372448,54.19708304245239",HARKER,ENW
great harwood,18.88,6.6198611091854875,0.898553338423512,"-2.399635889164683,53.78325265113081",PADIHAM,ENW
green lane (altrincham),22.863,15.185622623216592,0.9901234873919315,"-2.3210475390281116,53.386358100621855",CARRINGTON,ENW
green lane (hazel grove),22.863,16.349464300060475,0.9946468244279674,"-2.128192681978453,53.380968644686156",BREDBURY,ENW
green st t11,13.25,9.520726688713719,0.9948973371818066,"-2.631665867522772,53.539057244339006",KIRKBY,ENW
green st t12 & t13,21.46,16.511234117533128,0.9948973371818066,"-2.631815409482477,53.53896656897135",KIRKBY,ENW
greenfield,23.0,9.622468461100251,0.9939962697816512,"-2.0117005178054166,53.537894884769216",STALYBRIDGE,ENW
greenhill,42.0,24.135163873628247,0.9499998072913253,"-2.1031409593285737,53.53939677599494",WHITEGATE,ENW
griffin,22.86,13.533847983364879,0.9987775912848889,"-2.4991910840151967,53.739511668987575",ROCHDALE,ENW
hadfield,22.863,9.46066280107393,0.95,"-1.9745084157707893,53.45963075775679",STALYBRIDGE,ENW
hall cross,22.863,18.927583545009856,0.9828548805722146,"-2.877056875182201,53.76898024152648",PENWORTHAM ,ENW
handforth,22.863,12.016873569952347,0.9945377259109403,"-2.2123904138084476,53.34727583447053",SOUTH MANCHESTER,ENW
hanging bridge,8.0,5.155773326888592,0.9931004854209233,"-2.815633032783423,53.65109123143352",PENWORTHAM ,ENW
hareholme,22.863,13.658560231343637,0.9978813346226842,"-2.265990000011541,53.696691242673346",PADIHAM,ENW
harpurhey,22.86,11.39056349049868,0.9987371313430209,"-2.214017005260089,53.51870207578211",WHITEGATE,ENW
harwood,16.7,12.707517200711353,0.992623740041396,"-2.393650141832176,53.59439478318351",KEARSLEY,ENW
hattersley,17.5,9.76994480998783,0.982024810927416,"-2.0252743460928855,53.45283540739854",STALYBRIDGE,ENW
haverthwaite,9.5,4.2998578450976535,0.9986338214767155,"-3.010745831206993,54.24588606393117",HARKER,ENW
hawk green,23.0,10.126787397851686,0.9840775329313916,"-2.0628742327811356,53.38107498636922",BREDBURY,ENW
haydock,32.0,17.851650543557934,0.9926795034065563,"-2.6418935067331173,53.471031252348915",BOLD,ENW
hda no1 & hda no2,20.78,6.96626441535501,0.9990584609587244,"-3.5226942714583105,54.60636264225888",HARKER,ENW
heady hill,17.5,9.817416356330792,0.9969192219451855,"-2.237606153885638,53.59158890274414",ROCHDALE,ENW
heap bridge,16.75,7.356814002850002,0.9500010313113323,"-2.2614221429984847,53.59014600405884",KEARSLEY,ENW
heasandford,18.29,8.04780087228803,0.9969985865443446,"-2.2239228495685,53.800481473615974",ROCHDALE,ENW
heaton moor,17.5,11.737695903667564,0.9952149063183119,"-2.187694626418692,53.418758647327046",BREDBURY,ENW
heaton norris,20.5,13.574457005537367,0.9783137964516502,"-2.169104567917457,53.42437732447135",BREDBURY,ENW
helwith bridge,4.0,3.2502846790198032,0.95,"-2.2918002624846707,54.120362069211495",PADIHAM,ENW
hensingham,22.863,8.356214052923173,0.9668735474857635,"-3.5708997051566143,54.54019781031866",HARKER,ENW
heyrod,22.863,13.05952718059044,0.9955597171697521,"-2.0420175264761626,53.496523484179704",STALYBRIDGE,ENW
heyside,22.863,9.379809174010875,0.9891917561689413,"-2.1006114550852057,53.56073724054902",WHITEGATE,ENW
heywood,20.291,12.013996614954962,0.9946130356703465,"-2.2215971514357205,53.58969616180168",ROCHDALE,ENW
higher mill,20.0,12.674152430297847,0.9972332929801165,"-2.216013739154697,53.38945293220813",SOUTH MANCHESTER,ENW
higher walton,22.863,15.31252137353432,0.9889293464164007,"-2.637937746065635,53.740111516637",PENWORTHAM ,ENW
hill top t11 & t12,22.86,15.92560306025001,0.9889336554521139,"-2.4017541957133544,53.52971443939268",KEARSLEY,ENW
hill top t13,13.25,6.50327827746823,0.9889336554521139,"-2.4016041936252717,53.5298048278454",KEARSLEY,ENW
hindley green,35.0,20.505316498106044,0.9957931492270201,"-2.553708158090864,53.524666714795664",KEARSLEY,ENW
hollinwood,22.863,8.77333985073118,0.9947628078780186,"-2.1479630271235157,53.5199077793456",WHITEGATE,ENW
holme rd,22.863,13.629089380864452,0.9863771799242558,"-2.7247742091012075,53.756434669099306",PENWORTHAM ,ENW
holt st,17.5,11.144885496554592,0.9894943878937446,"-2.3248730144196834,53.64332682270304",KEARSLEY,ENW
hurst,17.5,10.298950002454461,0.9978085594249861,"-2.0820000283692437,53.49990926359118",STALYBRIDGE,ENW
hutton end & skelton c,17.36,6.051324038831129,1.0,"-2.843238393025191,54.74147195458147",HUTTON,ENW
hyde,22.863,15.305356396811337,0.9937020095223701,"-2.073521558510555,53.452869285066946",STALYBRIDGE,ENW
hyndburn rd,14.7,10.122182176679232,0.9971030223494556,"-2.3702085490068043,53.7556819458426",PADIHAM,ENW
india st,22.863,8.385264204853735,0.9979087673682839,"-2.4635895191131687,53.69233204157267",ROCHDALE,ENW
ingleton,4.0,2.2436750176724822,0.945024947372814,"-2.477401202388467,54.145913438431165",HUTTON,ENW
irlam,22.86,15.94002569344496,0.9950583391341576,"-2.427755626099679,53.43625161545266",CARRINGTON,ENW
james st,22.863,19.249268646171107,0.9984034085670949,"-2.936385542566019,54.88988881284058",HARKER,ENW
kay st,22.863,8.882602275633538,0.9986258679509022,"-2.397777775436819,53.74406185140173",PADIHAM,ENW
kendal,22.86,18.418556612245087,0.9978535168272874,"-2.7407367182422706,54.32002654199981",HUTTON,ENW
keswick,15.0,11.68453062970928,0.9894089910897579,"-3.1312470807599393,54.60393180629965",HARKER,ENW
kingsway,30.0,4.388692224714097,0.9917778671219785,"-2.1278649967427747,53.602012341058575",ROCHDALE,ENW
kinkry hill,1.5,0.6769436443226338,0.9908301683505886,"-2.7719530521496285,55.068015595739524",HARKER,ENW
kirkby lonsdale,8.0,4.711598734802221,0.9868418531738117,"-2.617263758512754,54.20348075517886",HUTTON,ENW
kirkby moor,4.0,1.7549460370334533,0.92591554334567,"-3.1353586061363043,54.23744238445671",HARKER,ENW
kirkby stephen,15.0,6.061929658200618,0.9967241387614301,"-2.3629472432579806,54.4770345180451",HUTTON,ENW
kirkby thore,15.75,8.951394874609646,0.9448687532196423,"-2.552412602805039,54.63391199570191",HUTTON,ENW
kirkhall lane,16.65,10.06597131359408,0.9976244109377376,"-2.521475321990184,53.5051718502071",KEARSLEY,ENW
kitt green,20.5,14.430799289634928,0.9941119406854679,"-2.6815576858140346,53.54416732661052",KIRKBY,ENW
knott mill,22.863,13.10872659967347,0.999425198983441,"-2.2555513787522377,53.47597928770209",SOUTH MANCHESTER,ENW
lamberhead,22.86,10.16384979277956,0.9901650544508885,"-2.672566370604146,53.53103207562584",KIRKBY,ENW
lancaster,22.863,18.656071062535737,0.960998489660874,"-2.7861873514455584,54.0660181283964",HEYSHAM,ENW
langley,22.863,13.589945814911735,0.9946601090691588,"-2.2064339774582433,53.55341951378431",WHITEGATE,ENW
langroyd rd,22.86,11.734765456378392,0.9975088204214894,"-2.1675648982065954,53.86135885820261",PADIHAM,ENW
leigh,10.0,5.939778265592306,0.9499479149632531,"-2.5160264749715395,53.49475085577004",KEARSLEY,ENW
levenshulme,17.5,15.919512736852138,0.9991076574245342,"-2.1897482096182657,53.44401314935543",BREDBURY,ENW
leyland national,22.863,4.329640412166321,0.95,"-3.519608900799499,54.61912810474853",HARKER,ENW
little hulton,16.95,12.917634922848686,0.9898800657473866,"-2.4235141423778845,53.53034040175572",KEARSLEY,ENW
little salkeld,13.0,5.854494539718953,0.8411352850949397,"-2.6813434597295265,54.7306813344714",HUTTON,ENW
