X,Y,FID,MSOA21CD,GlobalID
464445.5023,102546.1228,92,E02003533,c1a005ab-c657-4c1c-a6d8-8dfed94d996f
288834.9652,62189.8309000004,93,E02003164,f92d718b-e17f-4b43-87b3-00071f6b53ad
498632.9617,149763.681299999,94,E02006358,ffefed23-db0c-40cb-a692-71f187af6991
164231.151,40150.7045000009,95,E02003924,69386aea-29a1-4ef5-86d5-97926f4c075c
300206.6372,81161.2302000001,96,E02004147,099ddb6c-656b-4d5a-8eca-8136edb5a5db
449421.514,89312.6780999992,97,E02003589,99302ec0-2fdd-4b41-aa29-e488c7dba7d4
549810.715,99652.9240000006,98,E02004390,7b9fba45-51cf-43d9-bc46-48f33e65773d
526195.7617,195585.655099999,99,E02000028,359b9b09-9e86-4320-a25b-3f5f392197a5
407482.9548,96472.5782999992,100,E02003172,e104aed4-4864-470b-8705-ba3850b3a437
496661.2753,158536.1327,101,E02006462,ce438768-649e-4cd2-ada2-91a0ef10b819
292802.8318,92043.6873000003,102,E02004157,a1a26ef6-ffbf-4480-a39a-ac068ac0c0f8
553704.9666,191800.692,103,E02000467,2a5666f4-4cf3-4b76-a3aa-e4e501c14fb3
557473.5534,148134.8562,104,E02005158,68fde8ba-9cfd-4dfd-b6fe-3c7f649d4c3c
527249.5554,107190.978700001,105,E02003496,9ff84c0c-c581-4782-9ed6-1698a318b70a
578323.3304,156038.6589,106,E02005072,ae1e0a22-2c20-407a-bbde-745202fc9ea6
472487.8225,108155.9834,107,E02004770,9d7b9192-8bf5-4f40-ba89-fec59947eda9
530954.2281,105837.897500001,108,E02003504,9f355e8d-2c98-4d48-8bde-1b5e775a945b
539885.0837,179307.157400001,109,E02006993,6f728585-961d-4f1b-ab1d-21f36dbad0e0
551191.1969,190598.7224,110,E02000471,2199e6f9-28d8-4957-b092-4f86a2ed3720
277339.0489,84047.3544999994,111,E02004203,355156c3-df0a-4e0f-912e-c08d90920b21
488784.3897,160746.9636,112,E02006420,5edb79e8-711d-4937-9580-e1e53ca18402
401600.8957,99810.0583999995,113,E02004252,1c764f55-df0f-46f8-8ccb-e5323f89df8c
537991.675,169507.776799999,114,E02000138,46341917-eea9-42a0-b447-e5fe299b4dd2
538107.0879,185055.1823,115,E02006995,c95fe8de-2aa2-496e-88b8-2ae1c4a32e17
471864.8817,99154.8885999992,116,E02004777,214cc04b-b337-4602-80cb-cbaf74910633
543083.7021,175740.216600001,117,E02000335,57be9ad5-6872-4a51-be94-697a50777b9a
528706.4219,164841.0394,118,E02000849,8856a732-8ee4-4008-8df2-709c970efad7
291118.5959,91854.6005000006,119,E02004158,35e7b492-7a55-4deb-ae6b-91343159da2c
443599.2784,103193.7696,120,E02004791,b9446b22-64ac-49e9-aa11-e1684725ae17
532698.6346,184736.149599999,121,E02000567,ac39f316-c7b1-4145-82a4-a682434ceaf7
492334.9025,100960.078,122,E02006553,dae77bff-5ab3-49e9-a840-4598b62145c0
560517.1197,165545.2817,123,E02006832,eacfaac1-e073-4d15-984f-5fd1f7b0cb11
547016.0769,176404.4155,124,E02000077,4c355fa4-bf68-424a-ae45-76ffadafdfe5
250472.4967,53155.2699999996,125,E02003152,7cf18c08-0c1a-46d3-b207-f9f1e6c36e9b
367921.2602,79458.5056999996,126,E02004284,4dc19e11-bef0-4971-ac51-34ea24dc18c7
292696.3371,63795.6724999994,127,E02003163,29e7460e-d186-49d7-861d-0df1d8ce7f92
212655.6967,84505.2367000002,128,E02003934,91c78803-a8f3-4e7f-8a2c-b6aa26f697d0
406508.3248,92690.9677000009,129,E02003202,0ff5d5ae-3dc7-4371-8faa-f3d1d07db3cb
531407.9494,166567.3226,130,E02000212,5c7bf814-243c-4e10-a1cf-d3653d8e28f1
468838.8318,172038.002900001,131,E02003403,a8488aea-e50c-4196-a67b-769c265e067f
534847.911,171730.775,132,E02000685,e79223f0-74dd-4e2b-9928-6ca310368a94
525753.5046,148991.3325,133,E02006387,c3e32f06-413a-4e24-93f6-463fab034020
480513.1708,97256.2609000001,134,E02006573,e60e8dd4-15c2-45c2-a279-d083e4f79961
492643.0476,99860.0504000001,135,E02006557,9a558340-fc14-488d-879a-9c49bed898de
362185.4725,175123.2038,136,E02003030,9c422605-1530-4453-b818-268e734de5dd
513888.1184,180110.5331,137,E02000266,ac87cd6c-ea0a-4649-b67b-2f92d7dafe2c
539079.6724,143481.8051,138,E02006437,4aa4becb-a1f8-46b4-b8ed-c274bb8ccb6c
549989.4395,175362.059699999,139,E02000081,5822d310-0869-47ea-bbaf-26b87e31433e
529356.0627,185008.445900001,140,E02000174,e4f19cbf-1980-4260-8da1-a6595adbe15d
524209.2551,106080.9527,141,E02006534,ef34ffbd-01cd-4a4f-b56f-e3678f14e628
497173.7483,144524.348999999,142,E02006445,2a3cd197-5af4-4743-a016-f3ee4843eaee
525406.3906,181849.7733,143,E02000969,1ed3890f-5875-428e-9bc6-2eb8d78b9c1d
539383.71,183588.9059,144,E02000733,c2eea792-9a3f-4b5b-b9b9-decf0715b67d
526495.5423,194160.1763,145,E02000031,6b5408c4-8e46-4647-9a8b-744959aeab4a
516353.3091,179357.4859,146,E02000272,bde7e95c-4de2-4e80-b412-fab02b98e921
496120.8437,181858.3215,147,E02003408,852e71c5-a8b2-4213-afe7-67900bc219d8
578260.7336,152789.0384,148,E02005080,d7fd6939-e2a6-4505-9171-8f3f02dcfbe1
246156.9067,57027.1296999995,149,E02003134,bf9c6550-bca5-4d50-a775-022f199bdacc
360693.5944,173264.007200001,150,E02006889,6b0afa2a-6896-400f-b645-6d21585f7d85
534001.8688,123967.541300001,151,E02006613,ac571f86-3c13-41fd-a486-a8e739e2c176
529786.2732,175098.9354,152,E02000634,ae2a987b-4aa3-47fb-a8a0-b3fa08e5285f
444406.6444,111577.2676,153,E02003576,0754440c-cfbe-45ba-b570-7900ad42bcf8
477764.3691,173641.761600001,154,E02003442,d6e126ee-22e3-41d2-9462-bc77daa1a129
533840.877,166841.401699999,155,E02000210,4bb7d855-865d-4a76-b362-25a2ea2395ff
316418.3616,210272.778000001,156,W02000317,56ce7cf5-5729-4eda-9fa5-05ddf462cb81
504025.8279,160545.0932,157,E02006457,21b8ecf8-f984-41fc-88bf-e918e2f631d1
550251.6554,185065.8462,158,E02000011,2879d825-7798-403e-81c3-3fb69e9acdf0
635407.4951,170287.6708,159,E02005134,edb81c67-2f38-4cca-b2e9-025a70740910
462740.4282,150188.3632,160,E02004690,c211df5a-03eb-4ea1-8cb2-ca9ae256871f
542370.1029,189177.4519,161,E02006925,2ab3fae4-c251-46fa-a076-e25540a3b567
511346.3938,187770.4813,162,E02000499,4e2eceff-ccbb-4926-952f-f564dd7aedc8
409088.8887,293724.4858,163,E02001840,c05a5dd4-ae01-4b06-9f96-6d6edf8e353a
316408.3698,100595.9319,164,E02004130,ac2cbe5a-b4a8-42d1-8c2a-c38202bab358
408693.8229,283099.796399999,165,E02001919,af5c1ffb-deb5-4d4e-bc2b-aadb0ee851d2
529451.347,178079.2498,166,E02000983,dc0799f7-cbca-4040-8141-b98d7b1b3ca1
367139.1331,77862.1195999999,167,E02004286,e1d25654-f0c1-4c10-9480-3faccb27a4f6
225698.7011,64767.2160999998,168,E02003895,71addf5a-a508-4f9d-84c1-026c8848f84e
557080.1353,171285.572799999,169,E02005039,61a0d6d4-3bdb-4fb6-abd8-54c3a4f018d7
356193.2428,175823.6445,170,E02003026,ab953d37-7d44-4045-b147-757f042c0ac6
343372.6474,187344.718,171,W02000346,58d6944d-888e-4049-b0d4-625b5a0eaa3d
637014.6461,152683.4311,172,E02005043,716c0354-289e-4328-acc7-221658f4bcf5
536716.1618,189810.8969,173,E02000906,0130fcd1-f94d-4ac6-8e88-4726d840c2e3
327964.4007,125655.782400001,174,E02006103,adb029fe-96dd-45ed-ae35-8f57dd4d0214
146768.4805,31121.6855999995,175,E02003948,7d5acca1-fd81-4cba-a8bb-9b755a0d35be
464726.14,101333.5978,176,E02003536,f34824f5-8800-4e49-a5a6-6a881a64df5a
545927.2842,172205.0912,177,E02000090,b2bcf621-10b0-4181-add7-f5e1a28ce9b6
166969.4214,43380.5247000009,178,E02003918,c0a46336-e209-45c1-a845-cfcfe0138007
505792.3895,181312.1719,179,E02000515,150fa7b3-9e41-4437-8b28-2171c311f91f
579799.5785,167126.7315,180,E02003331,f9a69cdb-8012-47d9-a107-0784ce80a7bf
415999.0255,144282.896500001,181,E02006662,1aabe907-36bb-49d0-b7d6-b40d06ebe409
