Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01009924",581,30,446,86,-,-,1,18
"S01009925",408,37,343,22,-,-,-,6
"S01009926",375,21,328,15,1,1,1,8
"S01009927",278,9,200,66,1,-,1,1
"S01009928",429,12,295,117,-,-,-,5
"S01009929",234,10,178,40,1,-,2,3
"S01009930",460,26,403,16,-,-,1,14
"S01009931",463,15,430,11,-,-,-,7
"S01009932",374,20,318,29,-,-,2,5
"S01009933",534,27,188,309,-,-,1,9
"S01009934",436,13,330,82,-,1,1,9
"S01009935",386,18,133,226,-,-,-,9
"S01009936",397,26,111,255,1,-,-,4
"S01009937",266,22,84,143,4,4,2,7
"S01009938",570,21,272,270,-,-,-,7
"S01009939",521,31,43,445,-,-,2,-
"S01009940",438,8,368,42,-,-,3,17
"S01009941",320,1,301,5,-,-,2,11
"S01009942",486,10,339,120,-,2,2,13
"S01009943",424,6,382,19,-,-,-,17
"S01009944",344,21,305,16,-,-,-,2
"S01009945",500,18,428,39,-,1,3,11
"S01009946",348,11,310,20,-,-,1,6
"S01009947",266,17,206,39,-,1,-,3
"S01009948",431,32,97,296,3,-,-,3
"S01009949",368,9,328,20,-,-,2,9
"S01009950",256,2,242,7,1,-,1,3
"S01009951",259,5,239,6,1,1,-,7
"S01009952",311,8,232,63,2,-,-,6
"S01009953",358,4,328,22,-,-,-,4
"S01009954",214,3,195,8,2,-,-,6
"S01009955",447,26,379,34,2,-,1,5
"S01009956",324,10,274,36,-,-,-,4
"S01009957",294,6,271,10,1,1,1,4
"S01009958",371,6,348,12,-,-,-,5
"S01009959",288,3,220,60,-,1,-,4
"S01009960",395,3,296,89,-,-,2,5
"S01009961",293,6,258,23,1,1,-,4
"S01009962",599,43,456,89,-,-,2,9
"S01009963",301,1,288,7,1,-,1,3
"S01009964",344,10,303,17,-,-,2,12
"S01009965",298,2,284,8,2,-,-,2
"S01009966",292,-,278,8,-,-,-,6
"S01009967",383,8,335,36,2,1,-,1
"S01009968",232,1,227,4,-,-,-,-
"S01009969",364,1,329,27,3,-,2,2
"S01009970",476,7,445,14,-,-,1,9
"S01009971",488,1,457,14,-,-,2,14
"S01009972",364,4,328,21,1,1,4,5
"S01009973",283,1,269,4,-,-,-,9
"S01009974",294,4,276,4,-,-,1,9
"S01009975",398,6,327,48,-,-,1,16
"S01009976",255,4,226,15,-,-,-,10
"S01009977",555,11,251,270,-,-,12,11
"S01009978",444,3,402,18,-,-,1,20
"S01009979",258,2,236,6,-,-,1,13
"S01009980",250,3,226,10,-,-,1,10
"S01009981",303,3,254,34,-,-,1,11
"S01009982",428,4,398,10,-,-,2,14
"S01009983",289,3,252,18,-,-,3,13
"S01009984",350,-,305,31,-,-,2,12
"S01009985",270,1,235,15,1,-,2,16
"S01009986",280,1,261,10,-,-,-,8
"S01009987",472,-,449,14,-,-,1,8
"S01009988",270,-,255,4,-,-,-,11
"S01009989",354,9,333,10,-,-,-,2
"S01009990",302,7,278,11,-,-,1,5
"S01009991",333,14,302,9,-,-,2,6
"S01009992",330,1,298,12,-,1,1,17
"S01009993",349,4,314,24,-,-,3,4
"S01009994",302,5,290,1,-,-,-,6
"S01009995",269,8,247,8,1,-,-,5
"S01009996",310,12,277,17,1,-,-,3
"S01009997",251,5,233,9,-,-,-,4
"S01009998",246,3,231,7,1,-,1,3
"S01009999",285,5,272,4,-,1,-,3
"S01010000",269,7,255,3,-,-,-,4
"S01010001",332,6,284,35,-,-,1,6
"S01010002",336,6,309,14,-,-,-,7
"S01010003",279,4,271,2,-,-,1,1
"S01010004",273,5,252,11,1,-,-,4
"S01010005",488,42,389,41,1,-,1,14
"S01010006",586,48,415,103,-,-,2,18
"S01010007",429,16,384,23,-,-,-,6
"S01010008",410,8,300,93,-,-,1,8
"S01010009",416,59,262,83,-,-,-,12
"S01010010",451,15,413,15,1,-,-,7
"S01010011",544,30,276,232,-,-,2,4
"S01010012",348,5,330,5,-,-,-,8
"S01010013",457,40,354,52,-,-,1,10
"S01010014",523,39,377,97,-,-,1,9
"S01010015",392,13,354,14,-,-,-,11
"S01010016",325,8,245,65,-,-,3,4
"S01010017",339,12,267,48,-,-,-,12
"S01010018",525,19,321,173,-,-,2,10
"S01010019",409,15,216,162,-,1,2,13
"S01010020",346,4,308,29,-,-,1,4
"S01010021",400,1,343,26,1,-,-,29
"S01010022",468,15,375,32,-,-,7,39
"S01010023",387,17,185,156,-,-,8,21
"S01010024",402,14,318,39,-,-,3,28
"S01010025",316,22,95,189,-,-,3,7
"S01010026",492,19,248,204,-,-,1,20
"S01010027",483,8,380,60,-,-,1,34
"S01010028",381,3,297,63,-,-,1,17
"S01010029",398,17,219,127,2,-,11,22
"S01010030",429,8,376,23,-,-,3,19
"S01010031",423,22,43,354,1,-,2,1
"S01010032",298,9,140,135,2,-,-,12
"S01010033",503,23,421,28,1,-,2,28
"S01010034",498,22,325,114,-,-,1,36
"S01010035",401,90,71,220,-,2,3,15
"S01010036",423,17,72,328,-,-,-,6
"S01010037",376,8,311,38,4,-,2,13
"S01010038",568,30,438,68,2,-,6,24
"S01010039",593,22,358,206,-,-,-,7
"S01010040",415,47,142,213,-,-,5,8
"S01010041",451,21,230,185,-,-,2,13
"S01010042",621,44,477,67,-,-,1,32
"S01010043",451,43,281,118,-,-,1,8
"S01010044",649,42,321,263,-,-,2,21
"S01010045",258,3,161,81,1,-,2,10
"S01010046",431,13,296,86,5,2,7,22
"S01010047",471,11,98,352,-,-,2,8
"S01010048",551,22,448,46,-,-,-,35
"S01010049",395,9,295,44,7,-,3,37
"S01010050",540,11,251,254,-,-,6,18
"S01010051",431,9,361,45,-,-,2,14
"S01010052",372,27,289,36,-,-,1,19
"S01010053",384,11,197,160,1,-,1,14
"S01010054",248,1,212,8,-,-,1,26
"S01010055",457,30,310,92,8,-,1,16
"S01010056",214,3,179,4,1,-,2,25
"S01010057",216,13,145,44,1,-,-,13
"S01010058",355,8,317,17,-,-,1,12
"S01010059",371,38,306,18,-,-,3,6
"S01010060",493,31,410,26,1,-,7,18
"S01010061",253,5,154,88,-,-,-,6
"S01010062",344,11,306,12,-,-,3,12
"S01010063",546,19,483,16,-,-,4,24
"S01010064",264,9,198,50,-,1,-,6
"S01010065",413,10,349,32,-,1,8,13
"S01010066",342,22,225,65,1,-,15,14
"S01010067",297,8,202,41,-,-,31,15
"S01010068",338,6,299,13,-,-,3,17
"S01010069",340,8,304,13,-,-,6,9
"S01010070",238,8,212,6,1,-,6,5
"S01010071",367,13,336,9,-,1,2,6
"S01010072",370,5,340,19,-,-,3,3
"S01010073",349,3,327,17,-,-,-,2
"S01010074",306,8,267,28,-,-,-,3
"S01010075",303,8,279,9,-,-,1,6
"S01010076",276,7,255,9,-,-,1,4
"S01010077",302,5,277,10,1,-,2,7
"S01010078",229,2,221,4,-,-,-,2
"S01010079",349,1,329,8,2,1,1,7
"S01010080",284,1,275,6,1,-,-,1
"S01010081",300,2,283,7,3,-,-,5
"S01010082",407,6,297,98,-,-,3,3
"S01010083",348,10,311,22,-,-,1,4
"S01010084",442,20,368,43,-,-,1,10
"S01010085",311,2,291,11,-,-,-,7
"S01010086",414,11,387,6,-,-,2,8
"S01010087",247,2,239,2,-,-,2,2
"S01010088",295,4,275,5,1,-,-,10
"S01010089",365,34,298,27,-,-,3,3
"S01010090",435,12,344,67,-,-,3,9
"S01010091",343,4,314,10,2,1,3,9
"S01010092",446,7,414,11,-,-,3,11
"S01010093",386,16,302,62,1,-,-,5
"S01010094",291,6,268,8,1,1,-,7
"S01010095",279,6,257,11,1,1,2,1
"S01010096",292,10,275,5,-,-,-,2
"S01010097",286,1,273,6,-,-,-,6
"S01010098",277,1,270,3,-,-,-,3
"S01010099",285,2,267,11,2,-,1,2
"S01010100",382,3,364,8,-,1,1,5
"S01010101",299,-,284,8,-,1,1,5
"S01010102",324,1,313,2,-,-,2,6
"S01010103",355,-,344,5,-,-,1,5
"S01010104",267,4,249,12,-,-,-,2
"S01010105",165,4,147,5,-,-,1,8
"S01010106",219,10,188,10,1,-,1,9
"S01010107",404,40,240,106,1,-,1,16
"S01010108",374,58,198,95,1,-,1,21
"S01010109",326,18,256,29,3,1,4,15
"S01010110",431,12,374,20,-,-,4,21
"S01010111",446,15,356,45,-,1,8,21
"S01010112",419,2,370,9,-,-,3,35
"S01010113",244,1,192,34,-,-,1,16
"S01010114",366,6,328,9,-,-,2,21
"S01010115",230,3,210,5,-,-,2,10
"S01010116",397,14,300,76,-,-,-,7
"S01010117",261,6,227,10,2,3,8,5
"S01010118",277,19,215,22,-,-,1,20
"S01010119",209,2,187,5,-,-,-,15
"S01010120",444,7,376,27,-,-,4,30
"S01010121",321,1,282,25,-,-,1,12
"S01010122",198,7,161,21,-,-,-,9
"S01010123",299,5,270,16,-,-,1,7
"S01010124",293,4,270,10,1,-,-,8
"S01010125",242,5,212,12,-,-,-,13
"S01010126",312,1,290,7,-,-,1,13
"S01010127",296,4,278,6,-,-,1,7
"S01010128",214,-,170,26,-,-,-,18
"S01010129",350,13,302,18,-,-,1,16
"S01010130",206,1,178,18,1,1,4,3
"S01010131",376,7,338,19,7,-,-,5
"S01010132",497,7,449,23,5,-,4,9
"S01010133",380,13,220,137,2,-,1,7
"S01010134",551,13,463,63,2,-,5,5
"S01010135",365,10,319,26,-,1,2,7
"S01010136",367,15,307,37,1,-,1,6
"S01010137",583,16,490,59,1,-,9,8
"S01010138",660,16,155,480,-,1,1,7
"S01010139",552,16,488,30,1,-,5,12
"S01010140",384,19,290,68,-,-,1,6
"S01010141",447,17,367,27,-,-,13,23
"S01010142",288,15,211,46,1,1,2,12
"S01010143",391,-,378,6,-,-,1,6
"S01010144",372,33,294,26,2,-,2,15
"S01010145",397,18,344,24,1,-,3,7
"S01010146",406,17,346,23,-,-,-,20
"S01010147",494,10,432,19,1,1,3,28
"S01010148",356,23,297,10,6,2,5,13
"S01010149",231,6,190,7,14,1,2,11
"S01010150",325,11,281,9,11,-,-,13
"S01010151",329,4,299,14,1,-,2,9
"S01010152",425,4,399,7,-,-,3,12
"S01010153",491,18,421,37,-,1,3,11
"S01010154",432,12,399,15,-,1,1,4
"S01010155",362,3,346,5,-,-,-,8
"S01010156",281,7,233,27,1,-,4,9
"S01010157",267,7,245,4,-,-,-,11
"S01010158",461,11,423,9,1,-,2,15
"S01010159",353,8,291,46,-,-,1,7
"S01010160",308,13,257,14,-,-,2,22
"S01010161",259,7,232,8,-,-,2,10
"S01010162",360,13,313,24,-,-,1,9
"S01010163",239,4,220,4,-,1,1,9
"S01010164",282,3,258,6,1,-,3,11
"S01010165",275,5,215,24,-,-,15,16
"S01010166",347,13,305,18,-,-,2,9
"S01010167",472,53,47,367,1,-,2,2
"S01010168",236,18,112,101,-,-,1,4
"S01010169",367,31,198,126,-,-,1,11
"S01010170",271,14,173,80,-,-,1,3
"S01010171",489,16,424,24,-,-,4,21
"S01010172",481,18,402,46,1,-,4,10
"S01010173",331,3,318,5,-,-,1,4
"S01010174",250,7,205,33,-,-,2,3
"S01010175",216,10,173,24,-,-,1,8
"S01010176",369,2,349,10,-,2,1,5
"S01010177",315,1,276,25,-,-,2,11
"S01010178",391,12,309,49,1,-,1,19
"S01010179",387,2,350,10,-,-,2,23
"S01010180",215,-,196,5,-,-,1,13
"S01010181",272,5,248,5,-,-,-,14
"S01010182",307,18,239,44,-,-,-,6
"S01010183",232,3,215,5,1,-,-,8
"S01010184",286,2,253,6,2,-,11,12
"S01010185",282,5,250,9,-,-,3,15
"S01010186",246,3,234,1,-,-,-,8
"S01010187",294,21,245,22,-,-,-,6
"S01010188",304,6,278,16,-,-,1,3
"S01010189",336,-,331,1,-,-,1,3
"S01010190",253,1,242,2,-,-,-,8
"S01010191",266,1,250,5,-,-,1,9
"S01010192",294,1,279,7,-,-,1,6
"S01010193",329,5,285,26,2,-,1,10
"S01010194",268,2,250,10,-,-,2,4
"S01010195",212,3,194,5,-,1,2,7
"S01010196",274,3,233,24,-,1,1,12
"S01010197",260,3,246,5,-,-,-,6
"S01010198",394,7,355,12,-,-,3,17
"S01010199",232,2,216,6,-,-,1,7
"S01010200",305,8,282,9,-,-,-,6
"S01010201",253,-,241,3,-,1,-,8
"S01010202",365,9,301,41,-,-,2,12
"S01010203",260,4,149,102,3,-,-,2
"S01010204",381,9,329,26,-,-,1,16
"S01010205",355,9,291,33,-,-,6,16
"S01010206",255,13,31,209,-,-,1,1
"S01010207",285,14,122,136,1,1,3,8
"S01010208",565,34,224,293,-,-,2,12
"S01010209",468,15,217,225,-,1,2,8
"S01010210",416,6,375,18,-,-,4,13
"S01010211",452,16,299,119,-,-,1,17
"S01010212",559,23,361,145,-,-,4,26
"S01010213",476,6,429,22,2,-,1,16
"S01010214",396,5,323,58,2,-,-,8
"S01010215",492,17,154,303,1,-,6,11
"S01010216",361,7,96,239,-,-,3,16
"S01010217",406,21,260,103,-,-,2,20
"S01010218",587,28,278,259,-,-,6,16
"S01010219",274,15,9,245,2,-,3,-
"S01010220",279,12,112,145,-,-,-,10
"S01010221",260,4,221,13,-,-,1,21
"S01010222",285,22,206,48,2,-,2,5
"S01010223",337,12,243,68,-,-,-,14
"S01010224",469,4,375,46,-,1,4,39
"S01010225",431,27,196,199,1,-,1,7
"S01010226",394,26,24,341,-,-,1,2
"S01010227",294,17,20,257,-,-,-,-
"S01010228",384,2,341,12,1,1,4,23
"S01010229",508,4,391,75,-,-,3,35
"S01010230",577,27,61,473,-,-,7,9
"S01010231",514,4,412,53,-,-,5,40
"S01010232",485,9,290,153,-,-,3,30
"S01010233",476,30,247,165,-,-,3,31
"S01010234",562,28,460,61,-,-,1,12
"S01010235",446,4,404,15,1,-,-,22
"S01010236",378,25,320,23,-,-,-,10
"S01010237",353,11,304,25,-,-,-,13
"S01010238",455,29,386,29,-,-,3,8
"S01010239",424,14,378,17,-,-,1,14
"S01010240",398,31,332,24,-,-,3,8
"S01010241",623,38,527,34,-,1,4,19
"S01010242",455,46,372,28,-,-,1,8
"S01010243",610,60,491,24,-,-,3,32
"S01010244",440,37,285,99,-,-,4,15
"S01010245",509,14,435,26,5,-,1,28
"S01010246",433,32,351,24,-,-,3,23
"S01010247",356,15,203,127,-,-,2,9
"S01010248",456,22,387,35,-,-,1,11
"S01010249",403,51,310,32,-,-,-,10
"S01010250",390,23,330,31,-,-,1,5
"S01010251",317,8,276,13,-,-,1,19
"S01010252",297,16,266,7,-,-,-,8
"S01010253",364,12,334,5,-,-,2,11
"S01010254",581,10,436,111,-,-,3,21
"S01010255",353,34,207,103,1,-,1,7
"S01010256",516,7,468,13,-,-,7,21
"S01010257",497,33,168,285,-,-,-,11
"S01010258",424,57,65,298,2,-,-,2
"S01010259",468,51,34,373,1,2,1,6
"S01010260",685,67,217,379,-,-,3,19
"S01010261",526,66,53,397,2,1,-,7
"S01010262",535,49,38,435,-,-,6,7
"S01010263",422,52,128,233,1,-,2,6
"S01010264",557,49,255,234,-,-,2,17
"S01010265",573,38,296,221,-,-,6,12
"S01010266",237,14,199,13,-,-,5,6
"S01010267",318,16,126,156,-,-,17,3
"S01010268",417,54,165,190,-,1,1,6
"S01010269",320,44,146,120,-,-,-,10
"S01010270",817,30,663,74,-,-,-,50
"S01010271",327,17,231,63,1,-,1,14
"S01010272",703,39,304,319,-,-,6,35
"S01010273",409,17,79,310,1,-,1,1
"S01010274",342,9,249,76,-,-,1,7
"S01010275",357,18,134,190,1,-,3,11
"S01010276",625,25,367,217,2,-,-,14
"S01010277",305,13,146,130,-,-,1,15
"S01010278",330,25,73,230,-,-,-,2
"S01010279",312,18,232,51,-,-,-,11
"S01010280",426,41,268,109,-,-,-,8
"S01010281",466,64,183,210,-,-,1,8
"S01010282",645,44,466,116,-,-,4,15
"S01010283",296,15,181,94,-,-,1,5
"S01010284",638,42,419,159,2,-,-,16
"S01010285",420,9,353,38,-,-,2,18
"S01010286",365,5,286,66,-,-,-,8
"S01010287",387,14,307,52,-,-,1,13
"S01010288",349,7,290,48,-,-,1,3
"S01010289",380,15,339,20,-,1,1,4
"S01010290",278,5,234,31,3,-,-,5
"S01010291",481,24,410,35,-,-,-,12
"S01010292",409,20,363,20,-,-,2,4
"S01010293",373,11,321,24,1,-,1,15
"S01010294",275,15,240,11,-,-,2,7
"S01010295",427,20,321,68,-,-,1,17
"S01010296",291,9,253,18,-,-,4,7
"S01010297",676,79,224,358,-,1,5,9
"S01010298",515,22,440,32,-,-,1,20
"S01010299",292,18,162,104,-,-,1,7
"S01010300",478,14,346,106,-,1,2,9
"S01010301",283,12,135,126,-,-,1,9
"S01010302",388,16,72,290,-,-,-,10
"S01010303",250,13,45,189,-,-,1,2
"S01010304",332,12,264,49,-,-,-,7
"S01010305",478,24,405,34,-,-,1,14
"S01010306",449,45,200,193,-,-,1,10
"S01010307",428,23,353,44,1,-,1,6
"S01010308",480,21,325,126,-,-,3,5
"S01010309",264,29,198,27,-,-,1,9
"S01010310",381,5,334,11,-,-,-,31
"S01010311",351,9,295,19,-,-,1,27
"S01010312",425,18,192,199,1,-,3,12
"S01010313",356,24,96,232,-,1,1,2
"S01010314",550,15,458,47,-,-,2,28
"S01010315",409,2,367,14,-,-,1,25
"S01010316",304,1,272,12,-,-,-,19
"S01010317",394,8,336,31,-,-,14,5
"S01010318",304,2,265,15,-,-,1,21
"S01010319",407,11,298,80,-,-,1,17
"S01010320",437,11,369,28,1,-,3,25
"S01010321",432,34,347,37,-,-,1,13
"S01010322",549,29,449,59,-,-,-,12
"S01010323",377,11,269,58,-,-,13,26
"S01010324",403,22,334,31,-,-,3,13
"S01010325",501,5,417,51,-,-,3,25
"S01010326",494,2,411,28,-,1,2,50
"S01010327",362,3,336,6,-,2,1,14
"S01010328",445,17,360,52,1,-,3,12
"S01010329",290,2,274,6,-,-,-,8
"S01010330",299,3,273,11,-,-,-,12
"S01010331",520,16,452,26,-,-,2,24
"S01010332",279,6,242,13,-,-,2,16
"S01010333",487,27,383,65,-,-,-,12
"S01010334",433,4,405,12,-,1,1,10
"S01010335",345,6,310,18,-,-,1,10
"S01010336",379,12,96,262,-,-,2,7
"S01010337",278,7,259,5,-,-,2,5
"S01010338",356,7,310,20,-,-,4,15
"S01010339",284,7,256,16,-,-,-,5
"S01010340",349,8,304,25,-,-,1,11
"S01010341",253,16,146,81,-,-,1,9
"S01010342",302,38,210,51,-,-,-,3
"S01010343",365,29,285,44,1,-,2,4
"S01010344",419,6,139,269,-,1,-,4
"S01010345",160,3,136,3,11,1,3,3
"S01010346",410,16,312,78,-,-,2,2
"S01010347",466,21,268,147,-,-,23,7
"S01010348",483,25,309,141,1,-,1,6
"S01010349",443,26,258,134,1,-,1,23
"S01010350",475,11,363,82,1,1,1,16
"S01010351",398,6,353,24,-,-,2,13
"S01010352",276,6,234,31,-,-,-,5
"S01010353",562,21,67,465,-,-,3,6
"S01010354",375,21,262,76,-,-,1,15
"S01010355",402,21,196,171,-,1,2,11
"S01010356",308,7,263,30,-,-,1,7
"S01010357",340,13,157,166,-,-,1,3
"S01010358",507,94,20,389,-,-,3,1
"S01010359",456,61,95,286,-,-,2,12
"S01010360",285,22,172,75,-,-,2,14
"S01010361",402,46,21,330,-,1,1,3
"S01010362",611,58,34,511,-,-,1,7
"S01010363",394,19,319,49,-,-,-,7
"S01010364",337,7,319,8,1,-,-,2
"S01010365",449,12,401,25,1,-,1,9
"S01010366",502,46,309,136,1,-,1,9
"S01010367",507,9,433,54,1,-,-,10
"S01010368",355,7,291,42,3,-,-,12
"S01010369",433,38,326,56,-,-,1,12
"S01010370",335,14,299,16,-,-,3,3
"S01010371",461,25,389,32,1,-,-,14
"S01010372",226,6,188,30,-,-,-,2
"S01010373",408,16,318,60,2,-,1,11
"S01010374",469,15,390,58,1,-,-,5
"S01010375",219,21,178,15,-,-,1,4
"S01010376",367,40,253,63,-,1,-,10
"S01010377",375,68,257,44,-,-,-,6
"S01010378",272,9,239,14,1,-,3,6
"S01010379",446,17,400,17,-,-,-,12
"S01010380",521,26,456,29,-,-,1,9
"S01010381",372,55,274,33,-,-,-,10
"S01010382",483,26,426,17,-,-,2,12
"S01010383",393,46,299,40,-,-,-,8
"S01010384",454,16,399,19,-,-,3,17
"S01010385",498,42,395,44,-,-,2,15
"S01010386",528,23,475,15,1,-,1,13
"S01010387",587,23,503,42,1,-,-,18
"S01010388",584,18,527,19,1,-,2,17
"S01010389",668,49,269,341,-,-,-,9
"S01010390",716,61,593,43,1,-,1,17
"S01010391",541,34,432,64,-,-,1,10
"S01010392",416,1,376,17,-,-,1,21
"S01010393",634,46,488,82,1,-,1,16
"S01010394",516,31,132,349,-,-,2,2
"S01010395",637,50,473,81,10,-,15,8
"S01010396",585,30,427,108,2,-,2,16
"S01010397",294,6,260,21,1,-,2,4
"S01010398",583,33,434,106,-,-,3,7
"S01010399",615,16,575,15,-,-,1,8
"S01010400",530,25,428,66,-,-,1,10
"S01010401",400,21,240,132,1,-,4,2
"S01010402",513,22,464,15,-,-,1,11
"S01010403",509,15,441,45,-,-,1,7
"S01010404",406,13,325,55,2,-,3,8
"S01010405",408,19,327,56,-,-,1,5
"S01010406",435,43,340,46,-,-,-,6
"S01010407",418,29,333,47,-,-,1,8
"S01010408",272,11,217,36,-,1,1,6
"S01010409",245,4,223,15,1,-,-,2
"S01010410",248,13,171,59,1,-,3,1
"S01010411",365,3,347,8,-,-,-,7
"S01010412",424,27,361,28,2,-,-,6
"S01010413",340,7,299,18,7,1,5,3
"S01010414",497,11,386,90,1,-,-,9
"S01010415",555,36,216,294,-,-,1,8
"S01010416",322,5,293,19,-,-,-,5
"S01010417",286,6,248,31,-,-,-,1
"S01010418",561,20,496,33,-,-,2,10
"S01010419",500,27,441,22,2,1,4,3
"S01010420",290,3,209,75,-,-,-,3
"S01010421",346,10,311,21,2,-,-,2
"S01010422",483,15,432,24,-,-,1,11
"S01010423",490,11,264,200,-,-,2,13
"S01010424",471,18,347,87,-,-,1,18
"S01010425",621,47,348,207,-,-,2,17
"S01010426",406,26,322,46,1,-,2,9
"S01010427",499,14,257,218,-,1,4,5
"S01010428",319,8,228,77,-,-,-,6
"S01010429",388,-,365,19,-,-,-,4
"S01010430",451,17,313,114,-,-,1,6
"S01010431",258,2,227,25,-,-,-,4
"S01010432",464,8,419,19,-,-,1,17
"S01010433",338,16,45,274,1,-,1,1
"S01010434",331,7,283,19,-,-,2,20
"S01010435",291,5,260,15,-,1,2,8
"S01010436",433,10,370,31,-,-,3,19
"S01010437",269,7,200,47,-,1,3,11
"S01010438",370,5,310,37,-,-,8,10
"S01010439",512,10,347,126,1,-,3,25
"S01010440",322,15,206,93,-,-,1,7
"S01010441",488,8,338,119,3,1,1,18
"S01010442",383,12,308,37,-,-,3,23
"S01010443",228,7,199,13,-,-,1,8
"S01010444",289,4,253,21,-,-,3,8
"S01010445",307,2,271,10,1,-,10,13
"S01010446",329,7,308,9,-,-,-,5
"S01010447",521,10,307,195,-,-,-,9
"S01010448",360,5,336,14,-,-,1,4
"S01010449",370,10,330,18,1,-,1,10
"S01010450",407,17,331,49,-,1,1,8
"S01010451",438,5,163,262,-,1,1,6
"S01010452",408,5,369,25,-,-,1,8
"S01010453",372,11,108,250,-,-,1,2
"S01010454",383,7,347,21,-,-,2,6
"S01010455",604,36,56,506,1,-,-,5
"S01010456",313,9,280,20,1,-,-,3
"S01010457",340,14,207,116,-,-,-,3
"S01010458",411,11,262,132,-,-,1,5
"S01010459",258,7,232,11,-,-,-,8
"S01010460",346,3,324,12,-,-,1,6
"S01010461",386,5,245,128,1,-,2,5
"S01010462",437,15,33,385,-,-,1,3
"S01010463",376,7,331,32,1,-,1,4
"S01010464",248,5,213,22,-,2,-,6
"S01010465",451,9,287,149,-,-,-,6
"S01010466",458,24,389,40,-,-,1,4
"S01010467",476,12,340,113,-,-,3,8
"S01010468",417,8,388,5,-,-,1,15
"S01010469",405,37,213,153,-,-,-,2
"S01010470",364,4,297,51,-,1,1,10
"S01010471",316,9,284,16,-,-,-,7
"S01010472",290,3,258,12,-,-,1,16
"S01010473",435,39,333,45,-,-,2,16
"S01010474",431,17,337,68,-,-,-,9
"S01010475",384,8,331,37,-,-,-,8
"S01010476",523,12,441,57,-,-,3,10
"S01010477",354,3,323,22,-,-,2,4
"S01010478",628,50,414,129,-,-,5,30
"S01010479",512,16,364,123,-,-,1,8
"S01010480",285,1,265,16,-,-,-,3
"S01010481",267,8,231,13,-,-,3,12
"S01010482",354,8,334,6,-,-,2,4
"S01010483",526,16,440,58,-,1,2,9
"S01010484",246,3,230,5,-,1,-,7
"S01010485",396,8,354,24,-,-,-,10
"S01010486",371,7,348,9,1,-,1,5
"S01010487",432,6,393,18,-,1,1,13
"S01010488",338,14,297,13,-,-,3,11
"S01010489",450,15,407,17,-,-,2,9
"S01010490",308,7,274,20,-,-,-,7
"S01010491",417,9,382,18,-,-,1,7
"S01010492",255,2,177,48,-,-,18,10
"S01010493",308,7,234,60,-,-,-,7
"S01010494",252,8,225,14,-,-,-,5
"S01010495",418,2,382,16,-,-,1,17
"S01010496",388,13,270,93,-,-,-,12
"S01010497",285,1,260,9,-,-,3,12
"S01010498",357,4,328,9,-,-,-,16
"S01010499",451,23,159,258,1,-,2,8
"S01010500",398,1,372,5,-,-,-,20
"S01010501",430,3,396,10,-,-,1,20
"S01010502",331,1,317,3,-,1,-,9
"S01010503",321,4,293,16,-,-,2,6
"S01010504",247,24,18,53,83,38,4,27
"S01010505",244,20,10,39,98,42,13,22
"S01010506",380,26,13,110,146,34,5,46
"S01010507",345,9,7,151,110,35,4,29
"S01010508",449,33,20,99,161,77,12,47
"S01010509",393,23,24,94,145,40,12,55
"S01010510",340,9,12,144,135,24,1,15
"S01010511",369,7,2,153,104,74,5,24
"S01010512",281,6,3,54,138,51,7,22
"S01010513",300,4,16,69,175,6,4,26
"S01010514",287,6,6,83,100,44,3,45
"S01010515",350,6,9,176,104,31,12,12
"S01010516",270,7,9,115,111,5,3,20
"S01010517",362,7,15,207,79,29,3,22
"S01010518",293,10,9,176,67,14,1,16
"S01010519",282,5,10,172,73,6,2,14
"S01010520",410,15,11,157,176,16,7,28
"S01010521",339,6,16,150,84,49,4,30
"S01010522",283,13,4,212,36,8,-,10
"S01010523",258,6,2,210,20,1,12,7
"S01010524",234,9,25,56,115,12,2,15
"S01010525",259,10,19,52,134,19,8,17
"S01010526",364,16,29,99,143,39,10,28
"S01010527",455,27,19,220,112,30,5,42
"S01010528",265,9,17,56,112,33,6,32
"S01010529",283,7,14,70,138,12,4,38
"S01010530",278,10,18,41,159,29,5,16
"S01010531",496,14,30,137,248,16,8,43
"S01010532",245,12,17,40,117,20,10,29
"S01010533",272,9,8,98,128,2,6,21
"S01010534",374,11,12,166,141,14,1,29
"S01010535",305,20,17,73,142,20,1,32
"S01010536",397,8,15,261,63,15,5,30
"S01010537",330,19,14,168,80,16,5,28
"S01010538",337,7,40,114,59,46,56,15
"S01010539",496,33,11,316,98,9,3,26
"S01010540",298,22,11,118,105,10,4,28
"S01010541",362,19,12,122,141,17,12,39
"S01010542",388,29,13,152,140,11,8,35
"S01010543",255,13,9,44,143,16,3,27
"S01010544",370,5,7,162,154,17,2,23
"S01010545",344,14,5,157,128,6,4,30
"S01010546",369,3,10,190,135,11,5,15
"S01010547",313,17,11,56,175,16,4,34
"S01010548",299,7,107,26,120,9,3,27
"S01010549",366,-,321,6,32,-,1,6
"S01010550",236,4,186,28,7,3,-,8
"S01010551",267,17,75,20,117,12,9,17
"S01010552",334,18,25,33,199,22,7,30
"S01010553",261,18,20,25,149,16,4,29
