Scotland's Census 2011 - National Records of Scotland
Table QS415SC - Central heating
All occupied household spaces

,"All occupied household spaces","No central heating","Gas central heating","Electric (including storage heaters) central heating","Oil central heating","Solid fuel (for example wood, coal) central heating","Other central heating","Two or more types of central heating"
"S01006935",301,-,281,12,6,-,-,2
"S01006936",274,1,247,12,4,1,1,8
"S01006937",316,8,287,10,4,1,-,6
"S01006938",254,2,213,34,3,-,1,1
"S01006939",234,-,228,1,4,-,-,1
"S01006940",378,-,357,11,3,-,1,6
"S01006941",255,10,230,5,6,-,-,4
"S01006942",390,2,352,23,10,-,-,3
"S01006943",208,-,201,2,1,-,1,3
"S01006944",327,2,301,9,5,-,2,8
"S01006945",215,5,182,21,4,1,-,2
"S01006946",314,2,211,19,71,2,2,7
"S01006947",306,2,213,70,14,1,2,4
"S01006948",372,6,107,66,159,9,8,17
"S01006949",248,4,30,24,167,9,7,7
"S01006950",199,-,188,2,4,-,-,5
"S01006951",204,7,95,51,45,-,-,6
"S01006952",364,16,175,40,101,5,13,14
"S01006953",301,4,228,15,39,2,7,6
"S01006954",317,2,272,17,22,1,-,3
"S01006955",267,2,184,65,12,-,-,4
"S01006956",394,8,350,21,9,2,1,3
"S01006957",387,3,190,38,129,5,5,17
"S01006958",435,2,375,52,2,-,1,3
"S01006959",347,2,258,69,8,1,2,7
"S01006960",318,2,298,2,10,1,-,5
"S01006961",321,1,301,3,13,-,1,2
"S01006962",409,5,367,17,7,1,1,11
"S01006963",275,1,256,8,5,-,1,4
"S01006964",348,7,324,6,3,-,2,6
"S01006965",216,4,180,26,3,1,1,1
"S01006966",253,3,149,95,2,1,1,2
"S01006967",237,1,220,11,2,3,-,-
"S01006968",224,7,90,112,13,2,-,-
"S01006969",412,5,337,56,13,1,-,-
"S01006970",258,-,242,4,9,-,2,1
"S01006971",248,4,211,22,3,3,-,5
"S01006972",192,6,69,10,88,4,7,8
"S01006973",234,4,164,28,30,2,4,2
"S01006974",393,2,346,12,26,3,-,4
"S01006975",386,20,76,43,209,6,13,19
"S01006976",172,9,21,19,99,5,8,11
"S01006977",316,11,57,34,182,7,8,17
"S01006978",371,11,23,70,215,18,9,25
"S01006979",369,11,24,72,225,11,8,18
"S01006980",326,7,11,46,220,11,8,23
"S01006981",321,11,27,67,187,13,8,8
"S01006982",359,4,19,115,199,8,4,10
"S01006983",289,9,14,59,192,2,7,6
"S01006984",275,11,22,30,160,16,15,21
"S01006985",432,1,377,29,17,1,2,5
"S01006986",243,2,206,21,7,1,2,4
"S01006987",294,3,266,12,5,-,1,7
"S01006988",218,5,80,34,80,2,1,16
"S01006989",375,7,35,21,272,5,14,21
"S01006990",313,1,197,16,82,2,2,13
"S01006991",216,5,13,86,93,8,2,9
"S01006992",241,8,29,19,150,8,7,20
"S01006993",202,9,17,12,120,10,5,29
"S01006994",226,5,19,12,145,16,11,18
"S01006995",331,6,29,64,177,11,14,30
"S01006996",306,2,13,91,183,7,3,7
"S01006997",292,9,13,40,199,9,5,17
"S01006998",450,14,30,82,271,17,8,28
"S01006999",334,24,25,25,211,18,8,23
"S01007000",414,6,15,117,245,18,5,8
"S01007001",388,6,22,76,243,21,6,14
"S01007002",230,3,123,17,63,10,1,13
"S01007003",205,12,23,19,127,9,2,13
"S01007004",304,15,31,30,181,17,6,24
"S01007005",348,9,15,40,238,10,13,23
"S01007006",394,12,32,71,200,47,6,26
"S01007007",338,19,29,20,192,40,8,30
"S01007008",450,8,377,50,7,3,-,5
"S01007009",496,7,392,50,30,3,3,11
"S01007010",392,4,323,46,9,-,1,9
"S01007011",463,13,385,38,6,8,-,13
"S01007012",322,3,293,18,1,-,-,7
"S01007013",222,5,26,15,147,10,6,13
"S01007014",381,7,156,20,165,19,1,13
"S01007015",247,13,19,12,157,17,6,23
"S01007016",213,9,14,19,135,13,9,14
"S01007017",476,2,365,92,5,3,-,9
"S01007018",421,-,286,98,26,-,2,9
"S01007019",309,5,185,90,20,1,-,8
"S01007020",411,6,329,58,12,2,1,3
"S01007021",403,2,320,48,26,1,1,5
"S01007022",209,-,170,29,6,1,-,3
"S01007023",203,7,31,53,85,13,2,12
"S01007024",416,15,32,56,253,30,8,22
"S01007025",389,2,273,86,11,8,4,5
"S01007026",412,3,296,77,22,5,1,8
"S01007027",481,9,350,92,16,4,3,7
"S01007028",315,15,90,41,126,25,3,15
"S01007029",221,6,25,18,142,14,2,14
"S01007030",338,3,23,125,151,21,6,9
"S01007031",285,1,21,109,120,20,1,13
"S01007032",507,10,386,73,9,8,3,18
"S01007033",338,5,200,121,5,2,1,4
"S01007034",266,5,213,28,5,7,-,8
"S01007035",375,4,238,113,9,6,-,5
"S01007036",401,3,329,50,8,4,-,7
"S01007037",453,2,368,69,6,4,-,4
"S01007038",328,4,264,46,6,-,2,6
"S01007039",368,5,292,55,3,3,-,10
"S01007040",301,5,255,28,2,4,1,6
"S01007041",344,4,280,31,7,8,4,10
"S01007042",318,8,21,81,174,18,6,10
"S01007043",382,18,40,32,225,27,10,30
