Scenario (Short Name),Licence Area,Substation Name,Supply Voltage (kV),Voltage (kV),BSP Group,GSP,Substation Location,2022 Thermal Demand Headroom (MW),2023 Thermal Demand Headroom (MW),2024 Thermal Demand Headroom (MW),2025 Thermal Demand Headroom (MW),2026 Thermal Demand Headroom (MW),2027 Thermal Demand Headroom (MW),2028 Thermal Demand Headroom (MW),2029 Thermal Demand Headroom (MW),2030 Thermal Demand Headroom (MW),2031 Thermal Demand Headroom (MW),2035 Thermal Demand Headroom (MW),2040 Thermal Demand Headroom (MW),2045 Thermal Demand Headroom (MW),2050 Thermal Demand Headroom (MW),Bulk Supply Point or Primary,Scenario Full name,Output parameter,X,Y,location
FS (DFES),NPgY,UPPER BASINGHALL STREET,33.0,11.0,Kirkstall C 2/5,KIRKSTALL B,LS1  5JS,9.445906338857254,9.4190882614157,9.39315389187454,9.368434393406433,9.344840012191193,9.317507942867259,9.27612892507751,9.232042923390663,9.18406048349163,9.217681217566541,9.326856805755328,9.324770128359384,9.340598670643974,9.454578377133599,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),430001.0,433736.0,"53.79906873954261, -1.5459995960897182"
FS (DFES),NPgN,YORK UNIVERSITY,33.0,11.0,Melrosegate,OSBALDWICK,YO10 5ZF,11.631366208856614,11.593575703482912,11.566832464897102,11.547290877582206,11.542616922401864,11.50802497054185,11.456798526686429,11.391953420781745,11.321083330580198,11.279418849829819,11.036918816211216,10.266717313280342,9.447250530339076,8.666777947648436,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),462825.0,450765.0,"53.94918109392312, -1.0442324602331823"
FS (DFES),NPgY,WAWNE ROAD,33.0,11.0,Bransholme,CREYKE BECK,HU7  5BT,15.2017750315879,15.160988690015143,15.130697184207705,15.106944503742024,15.085959912369313,15.049968454302565,14.999074022298698,14.938646842011854,14.864820994484974,14.80000815981556,14.487557241188913,13.775853118482,13.095956326909503,12.520972016967029,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),509927.0,435351.0,"53.80285162382322, -0.33233009526742124"
FS (DFES),NPgY,WELLINGTON STREET,33.0,11.0,Featherstone,FERRYBRIDGE B,WF10 1NW,5.4903572085898205,5.343140588442516,5.2095062501819775,5.083673317750655,4.975146236482441,4.827199643546841,4.621146164141823,4.385877722242338,4.10612483908756,3.822283802641209,2.348775831495928,-0.9345520207294982,-4.886463799719369,-7.493009666929677,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),442024.0,425640.0,"53.72547685764911, -1.3645734241044756"
FS (DFES),NPgY,WESLEY CRESCENT,33.0,11.0,Humberston,GRIMSBY WEST,DN35 0JU,11.18257077304661,11.079912345076652,10.990311360443883,10.903975003728643,10.809929146428113,10.667729412549464,10.47899940322792,10.250507680749438,9.97241184786179,9.650163745085447,7.966862745452728,4.370090363417653,1.192513613647943,-1.2310182453272631,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),530503.0,407390.0,"53.54693445846251, -0.031833531739786404"
FS (DFES),NPgY,WEST DOCKS,33.0,11.0,Hull South,CREYKE BECK,HU3  4UU,10.188752768508483,10.166259031630286,10.144815425544278,10.12475984028417,10.10598393452252,10.085008561715078,10.049357430464914,10.012292853017785,9.972989337642662,10.006181965646004,10.123104336780889,10.090177244198733,9.833358012152988,9.77612667101215,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),507307.0,427233.0,"53.73046279965597, -0.3749139135128817"
FS (DFES),NPgY,WEST MOOR PARK,66.0,11.0,Doncaster B/Thorpe Marsh,WEST MELTON / THORPE MARSH,DN3  3FE,13.782964254721737,13.691533553098596,13.609467523827075,13.53456692484639,13.465187010898154,13.382223796977812,13.281687043268386,13.171638776828157,13.049523619845985,12.954255042939868,12.522087819880223,11.629162279041518,10.700994525766037,9.83022433629982,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),463667.0,405001.0,"53.537808057447826, -1.0408150065901203"
FS (DFES),NPgY,WHEATACRE ROAD,66.0,11.0,Hunshelf,WEST MELTON SECTION 3,S36 2GQ,3.2074276780993305,3.127200452813062,3.0703075974152316,3.029179625797223,3.0124574411167284,2.949875983837728,2.8416058354408964,2.7009702565733864,2.5124572772420493,2.2505572027548535,0.9226392301793727,-1.8395936503901815,-4.315738322471928,-6.1506060620940435,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),427331.0,398151.0,"53.479378596803954, -1.5896488237643935"
FS (DFES),NPgY,WHINGATE,33.0,11.0,Kirkstall C/Ring Road Horsforth,KIRKSTALL B,LS12 3QT,19.237727313234238,19.17799460044545,19.11387907423751,19.042429834223903,18.951539230481657,18.832602699113753,18.686605586862065,18.513057303637545,18.30674806221815,18.065136818965613,16.749141916777752,13.996645141890397,11.433361430138147,9.812117709679644,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),426254.0,433395.0,"53.79620564263272, -1.6029146773191425"
FS (DFES),NPgY,WOODSEATS,33.0,11.0,Jordanthorpe,JORDANTHORPE,S8 8QB,13.625746649310212,13.577456197087335,13.544696796582109,13.52079468535996,13.510953891890374,13.475174866907079,13.415397824935864,13.340219977257473,13.242020902121254,13.13784358462166,12.562714169784902,10.940019076678402,9.232627233301235,7.503828892073287,Primary,NG FES - Falling Short (DFES NPg regionalised),Network Capacity Demand Headroom (MW),434791.0,382646.0,"53.339578479994564, -1.4789522420612964"
